[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run CheckRoute Behavior [ RunTime:0.000960s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001064s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ app_begin ] --START--
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000730s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000805s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_template ] --START--
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run LocationTemplate Behavior [ RunTime:0.000890s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_template ] --END-- [ RunTime:0.000981s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_parse ] --START--
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run ParseTemplate Behavior [ RunTime:0.023305s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023394s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_filter ] --START--
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run ContentReplace Behavior [ RunTime:0.000619s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run TokenBuild Behavior [ RunTime:0.000724s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000502s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run ShowRuntime Behavior [ RunTime:0.000715s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002770s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_end ] --START--
