[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009760s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009868s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Run ContentReplace Behavior [ RunTime:0.000618s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Run TokenBuild Behavior [ RunTime:0.000635s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000491s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000717s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002717s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000664s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000754s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001098s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001232s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_template ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001403s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001527s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.048787s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.048910s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000968s ]
