[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '14' ) LIMIT 1   [ RunTime:0.000276s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '14' ) LIMIT 1   [ RunTime:0.000274s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '14' ) LIMIT 1   [ RunTime:0.000282s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_template ] --START--
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000978s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001057s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T22:19:06+08:00 ] /v/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in E:\Web\wamp\www\v\Index\Lib\TagLib\TagLibHdtags.class.php on line 18 and defined TagLib.class.php 第 111 行.
[ 2014-08-27T22:19:06+08:00 ] /v/ | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2014-08-27T22:19:06+08:00 ] /v/ | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2014-08-27T22:19:06+08:00 ] /v/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in E:\Web\wamp\www\v\Index\Lib\TagLib\TagLibHdtags.class.php on line 39 and defined TagLib.class.php 第 111 行.
[ 2014-08-27T22:19:06+08:00 ] /v/ | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2014-08-27T22:19:06+08:00 ] /v/ | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000292s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000187s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.003047s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000208s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000153s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT `username`,`face80` AS `face`,`follow`,`fans`,`weibo`,`uid` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000323s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000189s ]
